==== Tables (filter to HT_* and View_* — adjust if your prefix differs) ====
table_name|create_date|modify_date|approx_row_count
----------|-----------|-----------|----------------
dbo.HT_Book_Ds2|2|Book_No|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Ds2|3|Book_Room_Type|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Ds2|4|Book_Room_Ds|varchar|550|0|0|1|0|NULL
dbo.HT_Book_Ds2|5|Book_Room_Num|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds2|6|Book_Room_Days|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds2|7|Book_Room_Price|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds2|8|Book_Room_PriceToTal|float|8|53|0|1|0|NULL
dbo.HT_Book_H|1|Book_ID|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H|2|Book_Date|datetime|8|23|3|1|0|NULL
dbo.HT_Book_H|3|Book_Date_in|datetime|8|23|3|1|0|NULL
dbo.HT_Book_H|4|Book_Date_out|datetime|8|23|3|1|0|NULL
dbo.HT_Book_H|5|Book_Cust_ID|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H|6|Book_Cust_Name|varchar|200|0|0|1|0|NULL
dbo.HT_Book_H|7|Book_Cust_Name2|varchar|200|0|0|1|0|NULL
dbo.HT_Book_H|8|Book_Cust_Tel|varchar|80|0|0|1|0|NULL
dbo.HT_Book_H|9|Book_Price_Total|float|8|53|0|1|0|NULL
dbo.HT_Book_H|10|Book_Price_Pay|float|8|53|0|1|0|NULL
dbo.HT_Book_H|11|Book_Status|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H|12|Book_by|varchar|100|0|0|1|0|NULL
dbo.HT_Book_H|13|Book_room_all|text|16|0|0|1|0|NULL
dbo.HT_Book_H|14|Book_room_note|text|16|0|0|1|0|NULL
dbo.HT_Book_H|15|Book_room_type|int|4|10|0|0|0|((1))
dbo.HT_Book_H|16|Book_Notify_Day|int|4|10|0|0|0|((0))
dbo.HT_Book_H|17|Book_Notify_Note|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H|18|Book_Sale|varchar|150|0|0|1|0|NULL
dbo.HT_Book_H2|1|id|int|4|10|0|1|0|NULL
dbo.HT_Book_H2|2|Book_ID|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H2|3|Book_Date|datetime|8|23|3|1|0|NULL
dbo.HT_Book_H2|4|Book_Date_in|datetime|8|23|3|1|0|NULL
dbo.HT_Book_H2|5|Book_Date_out|datetime|8|23|3|1|0|NULL
dbo.HT_Book_H2|6|Book_days|float|8|53|0|1|0|NULL
dbo.HT_Book_H2|7|Book_Cust_ID|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H2|8|Book_Cust_Name|varchar|500|0|0|1|0|NULL
dbo.HT_Book_H2|9|Book_Cust_Tel|varchar|80|0|0|1|0|NULL
dbo.HT_Book_H2|10|Book_Cust_Fax|varchar|80|0|0|1|0|NULL
dbo.HT_Book_H2|11|Book_Cust_Address|varchar|500|0|0|1|0|NULL
dbo.HT_Book_H2|12|Book_Cust_Price|varchar|50|0|0|1|0|NULL
dbo.HT_Book_H2|13|Book_Cust_Note|varchar|500|0|0|1|0|NULL
dbo.HT_Book_H2|14|Book_Price_Total|float|8|53|0|1|0|NULL
dbo.HT_Book_H2|15|Book_Status|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Pro|1|id|int|4|10|0|0|1|NULL
dbo.HT_Book_Pro|2|B_NO|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Pro|3|B_ROOM|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Pro|4|B_NAME|varchar|250|0|0|1|0|NULL
dbo.HT_Book_Pro|5|B_UNIT|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Pro|6|B_NUM|float|8|53|0|1|0|NULL
dbo.HT_Book_Pro|7|B_PRICE|float|8|53|0|1|0|NULL
dbo.HT_Book_Pro|8|B_PRICE_TOTAL|float|8|53|0|1|0|NULL
dbo.HT_Book_Pro|9|B_PRO_ID|int|4|10|0|1|0|NULL
dbo.HT_Book_Status|1|id|int|4|10|0|1|0|NULL
dbo.HT_Book_Status|2|room_no|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Status|3|room_date|datetime|8|23|3|1|0|NULL
dbo.HT_Book_Status|4|room_status|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Status|5|room_Details|varchar|500|0|0|1|0|NULL
dbo.HT_Book_Status|6|room_Book_No|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Status|7|room_CheckIn_No|varchar|50|0|0|1|0|NULL
dbo.HT_Booking_Notes|1|Note_ID|int|4|10|0|0|1|NULL
dbo.HT_Booking_Notes|2|Book_No|nvarchar|100|0|0|0|0|NULL
dbo.HT_Booking_Notes|3|Note_Text|nvarchar|-1|0|0|0|0|NULL
dbo.HT_Booking_Notes|4|Created_At|datetime|8|23|3|1|0|(getdate())
dbo.HT_Booking_Notes|5|Updated_At|datetime|8|23|3|1|0|(getdate())
dbo.HT_Changed_Room|1|id|int|4|10|0|0|1|NULL
dbo.HT_Changed_Room|2|cin_no|varchar|50|0|0|0|0|NULL
dbo.HT_Changed_Room|3|room_before|varchar|50|0|0|1|0|NULL
dbo.HT_Changed_Room|4|room_after|varchar|50|0|0|1|0|NULL
dbo.HT_Changed_Room|5|change_date|datetime|8|23|3|1|0|NULL
dbo.HT_Changed_Room|6|room_before_price|float|8|53|0|0|0|((0))
dbo.HT_Changed_Room|7|Note|varchar|255|0|0|1|0|NULL
dbo.HT_Changed_Room|8|ToPrice|varchar|20|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|1|id|int|4|10|0|0|0|NULL
dbo.HT_CheckIn_Ds|2|Cin_No|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|3|Cin_Room_No|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|4|Cin_Room_Type|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|5|Cin_Room_In|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_Ds|6|Cin_Room_Out|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_Ds|7|Cin_Room_Status|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|8|Cin_Room_Dep|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Ds|9|Cin_Room_Price|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Ds|10|Cin_Room_Night|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Ds|11|Cin_Room_PriceToTal|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Ds|12|Cin_Room_Pay_Before|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Ds|13|Cin_Room_Pay_Total|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Ds|14|Cin_note|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|15|Cin_Dep_Status|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|16|Dep_by|varchar|100|0|0|1|0|NULL
dbo.HT_CheckIn_Ds|17|Cin_cupon|int|4|10|0|0|0|((0))
dbo.HT_CheckIn_Ds|18|Cin_Dep_return_date|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_Ds|19|Cin_Dep_return_by|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|1|Cin_no|varchar|50|0|0|0|0|NULL
dbo.HT_CheckIn_H|2|Cin_Date|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_H|3|Cin_Book_no|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|4|Cin_cust_no|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|5|Cin_cust_price|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|6|Cin_Car_type|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|7|Cin_Car_id|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|8|Cin_status|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_H|9|Total_Price_Room|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_H|10|Total_Price_Product|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_H|11|Total_Price_Net|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_H|12|Total_Price_Pay|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_H|13|Total_Price_Balance|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_H|14|Cin_Room_ALL|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_H|15|Total_Price_vat|float|8|53|0|0|0|((0))
dbo.HT_CheckIn_H|16|Cin_by|varchar|100|0|0|1|0|NULL
dbo.HT_CheckIn_H|17|Cin_Date_in|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_H|18|Cin_Date_out|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_H|19|Cin_type|int|4|10|0|0|0|((0))
dbo.HT_CheckIn_H|20|Cin_note|varchar|250|0|0|1|0|NULL
dbo.HT_CheckIn_H|21|Cin_foreign|varchar|50|0|0|0|0|('False')
dbo.HT_CheckIn_H|22|Cin_Work_number|int|4|10|0|0|0|((0))
dbo.HT_CheckIn_Other_People|1|id|int|4|10|0|0|1|NULL
dbo.HT_CheckIn_Other_People|2|Cin_no|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Other_People|3|Cin_name|varchar|250|0|0|1|0|NULL
dbo.HT_CheckIn_Other_People|4|Cin_contry|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|1|id|int|4|10|0|0|1|NULL
dbo.HT_CheckIn_Pay|2|Pay_no|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|3|Cin_No|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|4|Cin_Pay_Ds|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|5|Cin_Pay_Cash|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Pay|6|Cin_Pay_Credit|float|8|53|0|1|0|NULL
dbo.HT_CheckIn_Pay|7|Cin_Pay_Date|datetime|8|23|3|1|0|NULL
dbo.HT_CheckIn_Pay|8|Cin_Pay_Ds_Name|varchar|500|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|9|Cin_Pay_Ds_ID|varchar|50|0|0|1|0|NULL
dbo.HT_CheckIn_Pay|10|Cin_Pay_Ds_Price|float|8|53|0|1|0|NULL
